household_email,appliance_number,eer
asaylors@rantouch.com,1,4.7
asaylors@sunnamplex.com,1,10
ascheyer@ron-tech.com,1,1.7
ascheyer@ron-tech.com,2,3.4
aschieler@ron-tech.com,5,1.9
aschmaltz@zencorporation.com,3,2.1
aschnitzler@fasehatice.com,1,2.3
ascriven@hatfan.com,3,1.7
aseewald@conecom.com,1,1.8
aseewald@doncon.com,1,1.5
asengbusch@fasehatice.com,1,2.6
asengbusch@fasehatice.com,2,2.3
asergi@labdrill.com,2,5.1
asergi@stanredtax.com,6,2.1
ashadrick@zumgoity.com,1,4.9
asilvestrini@plussunin.com,3,6.6
asilvestrini@sunnamplex.com,2,1.1
asimilton@dontechi.com,1,2.8
asimilton@dontechi.com,4,10.3
asimilton@plussunin.com,1,3.3
asimilton@plussunin.com,4,2.3
aslusarski@iselectrics.com,2,1.7
aslusarski@iselectrics.com,3,1.4
aspickerman@labdrill.com,1,5.2
astaback@kinnamplus.com,1,2.2
astaback@kinnamplus.com,3,4.5
astenseth@ontomedia.com,2,3.2
astenseth@ontomedia.com,3,2.2
astenseth@plusstrip.com,1,1.5
astimmel@bioholding.com,2,6.1
astoltzman@zotware.com,1,1.3
astoltzman@zotware.com,6,1.8
astoltzman@zotware.com,7,9.1
asweigard@fasehatice.com,1,2.4
asweigard@fasehatice.com,2,3.2
ategarden@treequote.com,4,2.2
atreston@condax.com,1,1.5
atromblay@xx-holding.com,2,1.7
aturinetti@j-texon.com,1,11.8
aturinetti@j-texon.com,2,1.8
aturinetti@j-texon.com,3,2.2
aturinetti@scotfind.com,4,4
aturinetti@scotfind.com,7,1.1
aupthegrove@hatfan.com,2,4.4
aupthegrove@hatfan.com,4,3.2
avanheusen@finjob.com,4,1.9
awardrip@golddex.com,1,3.3
aweight@cancity.com,3,5.6
awiklund@gogozoom.com,2,1.9
aworlds@plussunin.com,1,11.3
aworlds@stanredtax.com,2,2.4
azagen@plussunin.com,1,1.4
azurcher@codehow.com,4,1.8
bacey@hottechi.com,1,10.7
bacuff@groovestreet.com,3,6.7
balbares@hatfan.com,2,2.3
barias@silis.com,1,2.2
basar@fasehatice.com,1,4.1
basar@fasehatice.com,4,5.1
bbachman@y-corporation.com,3,1.3
bbayless@konex.com,3,2.4
bbeech@scottech.com,4,2.3
bbeech@scottech.com,5,3.4
bbenimadho@funholding.com,2,3
bbenimadho@funholding.com,3,1.2
bbevelacqua@hottechi.com,1,3.2
bblackwood@isdom.com,1,3.3
bboulter@dalttechnology.com,1,3.4
bboulter@dalttechnology.com,2,1.6
bboulter@dalttechnology.com,3,7
bbrossart@konex.com,1,1.1
bbrossart@konex.com,4,2
bbubash@cancity.com,2,2.4
bbutt@bioholding.com,3,2.4
bcanlas@donware.com,2,12.6
bcanlas@donware.com,4,2.7
bcantres@donware.com,2,6
bcentini@hottechi.com,3,2.7
bcentini@hottechi.com,4,3.5
bchavous@kinnamplus.com,2,2.1
bchavous@statholdings.com,2,1
bchavous@statholdings.com,3,1
bcloney@groovestreet.com,2,2.6
bcloney@groovestreet.com,3,6.4
bcolla@mathtouch.com,1,14.1
bcorbley@singletechno.com,3,11.5
bcorrio@sunnamplex.com,3,2.7
bcousey@statholdings.com,3,2.9
bcousey@statholdings.com,4,4.4
bdelasancha@warephase.com,2,1.1
bdubaldi@lexiqvolax.com,1,12.2
bdubaldi@newex.com,1,1
bdubaldi@newex.com,2,3.9
bdubaldi@newex.com,5,1
bdubaldi@newex.com,10,1.7
beanes@dontechi.com,1,9.4
bemigh@bioholding.com,1,2.7
beschberger@stanredtax.com,1,6.4
beschberger@stanredtax.com,4,1.9
bfarrar@lexiqvolax.com,1,2.6
bfarrow@gogozoom.com,2,1.7
bfelger@year-job.com,1,1
bfelger@year-job.com,2,0.7
bferencz@isdom.com,1,6.6
bferencz@isdom.com,2,6.8
bferencz@isdom.com,3,3.1
bfortino@green-plus.com,3,3.8
bfrancescon@yearin.com,3,5.7
bfrankel@zencorporation.com,1,1.6
bfrankel@zencorporation.com,3,9.5
bgillaspie@dambase.com,2,2.2
bgochal@scotfind.com,3,2.4
bgochal@scotfind.com,14,1.1
bgochal@year-job.com,2,0.9
bgreenbush@cancity.com,1,0.7
bharabedian@donquadtech.com,2,4
bhoogland@finjob.com,4,1.6
bhoogland@lexiqvolax.com,1,9.9
bhudnall@zoomit.com,1,2.2
bhudnall@zoomit.com,2,2.6
bhudnall@zoomit.com,3,2.8
bkalafatis@kinnamplus.com,1,1
bkeener@j-texon.com,2,1.9
bkippley@cancity.com,4,2.7
bkippley@codehow.com,1,2.3
bkippley@groovestreet.com,3,1.9
bklonowski@nam-zim.com,1,3.7
bknipp@sumace.com,1,2.3
bkownacki@zencorporation.com,1,6.3
blacovara@zathunicon.com,1,2.5
blipke@rundofase.com,1,4.2
blipke@rundofase.com,4,1.9
blipkin@donware.com,4,3.9
blouissant@j-texon.com,1,4.6
blueckenbach@finhigh.com,3,5.5
blueckenbach@finhigh.com,4,5.5
blueckenbach@treequote.com,1,1.2
blungren@zotware.com,1,1.3
bmaclead@streethex.com,5,2
bmadarang@isdom.com,1,2.4
bmartabano@fasehatice.com,1,7.8
bmclaird@hatfan.com,1,2.7
bmclaird@hatfan.com,4,1.4
bmcnease@cancity.com,4,1.6
bmulqueen@dalttechnology.com,3,8.2
bmunns@newex.com,2,3.6
bnievas@ontomedia.com,3,2.5
bnievas@ontomedia.com,6,2.8
bostrosky@codehow.com,3,2.6
bpadilla@zathunicon.com,1,1.3
bpedrozo@kan-code.com,1,4.1
bpedrozo@kan-code.com,3,2.1
bpoullion@bioholding.com,1,2.5
bpoullion@bioholding.com,2,1.9
bpugh@opentech.com,4,1.1
bpugh@opentech.com,5,1.2
brentfro@green-plus.com,1,1.8
briden@opentech.com,1,9.6
bryser@zotware.com,3,4.9
bsaras@golddex.com,3,2.2
bsarbacher@mathtouch.com,1,1.4
bsarbacher@newex.com,4,1.6
bsayaphon@sunnamplex.com,3,2
bscipione@silis.com,3,4
bsergi@dontechi.com,1,1.4
bsergi@dontechi.com,3,1.1
bshadrick@lexiqvolax.com,2,1.5
bshadrick@lexiqvolax.com,3,7.5
bshields@yearin.com,3,5.5
bshields@yearin.com,4,1.7
bsilvestrini@cancity.com,1,20.2
bsimilton@opentech.com,2,0.6
bsimilton@opentech.com,9,0.8
bskulski@kinnamplus.com,1,1.8
bskulski@kinnamplus.com,2,1.2
bskulski@kinnamplus.com,7,2.7
bskursky@ron-tech.com,1,12.3
bstoltzman@green-plus.com,5,7.2
bsyrop@domzoom.com,6,2.7
btollner@streethex.com,1,1.1
btollner@streethex.com,3,3.9
btomasulo@green-plus.com,3,0.9
btromblay@funholding.com,3,2.8
bturinetti@zathunicon.com,6,2.2
bvarriano@codehow.com,1,2.3
bvarriano@codehow.com,3,1.7
bvillanueva@funholding.com,3,2.5
bvinning@hottechi.com,2,3
bweight@zoomit.com,2,6.3
bwieser@nam-zim.com,1,1.3
bwieser@nam-zim.com,5,1.7
bwildfong@xx-zobam.com,2,8.8
bwildfong@xx-zobam.com,6,4.7
bwitten@green-plus.com,3,3.2
byaw@xx-holding.com,2,1.3
byaw@xx-holding.com,3,2
bzagen@dambase.com,1,0.6
cacey@sonron.com,1,7
cacuff@codehow.com,6,9.5
calbares@rantouch.com,2,1.5
calbares@zencorporation.com,3,0.6
camigon@lexiqvolax.com,3,2.5
camigon@plexzap.com,1,4.1
candreason@streethex.com,3,2.3
cangalich@lexiqvolax.com,1,3.4
cangalich@xx-zobam.com,4,3.2
carceo@codehow.com,1,2.2
cauffrey@hottechi.com,3,1.6
cbarfield@fasehatice.com,2,2.8
cbarfield@fasehatice.com,4,6.2
cbarfield@iselectrics.com,1,1.6
cbatman@green-plus.com,3,1.7
cbayless@silis.com,2,6.2
cbeech@zencorporation.com,1,1.5
cbeech@zencorporation.com,3,2.1
cberganza@zathunicon.com,2,1.8
cbergesen@ron-tech.com,1,2.4
cbirkner@hottechi.com,2,1.7
cblackwood@ontomedia.com,2,2.9
cboord@finjob.com,1,2.7
cboord@finjob.com,4,3.4
cboord@toughzap.com,4,2.1
cboulter@finhigh.com,1,2.6
cboulter@finhigh.com,2,4.6
cbruschke@doncon.com,1,2.4
cburnard@year-job.com,1,19.7
cbutzen@inity.com,2,2.5
cbutzen@inity.com,5,1.7
cbuvens@sumace.com,2,4.1
cbuzick@fasehatice.com,1,1.5
ccaiafa@iselectrics.com,1,2.3
ccaldarera@dalttechnology.com,1,2.8
ccaldarera@dalttechnology.com,2,0.9
ccallaro@stanredtax.com,1,2.6
ccallaro@stanredtax.com,3,1.6
ccalvaresi@rantouch.com,2,5.8
ccampain@sonron.com,3,1.2
ccandlish@nam-zim.com,2,5.8
ccastros@ron-tech.com,2,3.4
ccetta@rundofase.com,2,1.7
cchaffins@ganjaflex.com,1,0.8
cchickering@plexzap.com,1,4.6
cchickering@rantouch.com,1,6.2
cchickering@rantouch.com,2,4.3
ccolaizzo@scotfind.com,3,2.1
ccolaizzo@scotfind.com,4,1.8
ccolaizzo@warephase.com,1,1.4
ccoyier@plexzap.com,4,1.6
ccryer@betasoloin.com,2,1.4
ccryer@betasoloin.com,3,4.8
cdallen@opentech.com,7,0.4
cdallen@scotfind.com,3,3.8
cdallen@singletechno.com,4,1.1
cdaufeldt@scotfind.com,4,2.9
cdegonia@betatech.com,2,1.1
cdegroot@faxquote.com,1,5.2
cdegroot@faxquote.com,2,3.2
cdegroot@newex.com,5,2.3
cdelasancha@streethex.com,3,0.9
cdelasancha@streethex.com,5,1
cdeleo@zoomit.com,2,2.7
cdemesa@ron-tech.com,3,11.7
cdevreese@streethex.com,1,1.7
cdevreese@toughzap.com,1,8.6
cdickerson@singletechno.com,4,3
cdilliard@blackzim.com,2,1.5
cdilliard@blackzim.com,3,6.9
cdilliard@blackzim.com,4,1.4
cdilliard@blackzim.com,6,1.4
cdinos@faxquote.com,1,3.8
cdinos@nam-zim.com,1,3.1
cdiscipio@y-corporation.com,1,2.4
cdopico@isdom.com,1,1.4
cdopico@isdom.com,3,1.3
cdubaldi@donquadtech.com,1,10.7
cehmann@opentech.com,2,7.6
cflosi@stanredtax.com,1,8.9
cfrankel@dambase.com,2,5.2
cfrey@ron-tech.com,6,1.2
cfrey@zoomit.com,1,14.5
cgehrett@fasehatice.com,1,5.5
cgehrett@isdom.com,2,1.3
cgellinger@treequote.com,4,2
cgillian@ontomedia.com,1,1.5
cgillian@ontomedia.com,5,2.1
cglick@scotfind.com,3,1.7
cglick@scotfind.com,7,2
cgobern@sunnamplex.com,1,12.7
cgochal@konex.com,5,2
cgreenbush@blackzim.com,3,1.6
cgwalthney@isdom.com,1,2
chagele@donquadtech.com,3,1.1
chalsey@dambase.com,2,3.4
chalter@toughzap.com,1,2.3
charnos@blackzim.com,1,2.2
charoldson@condax.com,3,1
charoldson@condax.com,7,4.7
chauenstein@xx-zobam.com,2,2.1
chauenstein@xx-zobam.com,4,2.6
cheintzman@zumgoity.com,1,1.3
chiatt@openlane.com,1,2.9
chiatt@y-corporation.com,1,2.3
chiatt@y-corporation.com,3,3.7
choneywell@ganjaflex.com,2,1.6
choneywell@opentech.com,4,1.8
choogland@bioplex.com,3,8
choogland@isdom.com,3,3.4
citurbide@ontomedia.com,1,5.9
ckannady@y-corporation.com,2,3.1
ckarpel@singletechno.com,1,0.7
ckeneipp@sonron.com,3,0.6
ckiel@betatech.com,3,2.1
ckines@openlane.com,1,1.3
ckines@openlane.com,3,1.4
ckippley@sonron.com,3,2.1
cklang@zoomit.com,3,3
cklang@zoomit.com,4,9.1
cklusman@donware.com,4,3.4
cklusman@opentech.com,4,12.6
cknipp@groovestreet.com,4,5.3
cknipp@hottechi.com,3,2.1
ckohl@dontechi.com,3,2
ckoppinger@hottechi.com,6,1.2
ckoppinger@streethex.com,1,9.5
ckorando@labdrill.com,1,3.1
ckownacki@doncon.com,4,1.6
ckulzer@silis.com,3,7.2
ckulzer@silis.com,4,11.9
ckusko@conecom.com,3,1.3
clabreche@opentech.com,2,1
clapage@zumgoity.com,1,2.8
clawler@faxquote.com,2,1.7
clawler@faxquote.com,3,1.8
clayous@singletechno.com,1,2.4
cleto@betatech.com,1,10.3
clietz@nam-zim.com,2,1.3
clinahan@openlane.com,4,2.8
clipke@doncon.com,1,18.9
cliukko@inity.com,2,2.7
cliukko@rantouch.com,4,1.1
clueckenbach@finhigh.com,1,4.9
cmadarang@rundofase.com,2,8.3
cmadarang@rundofase.com,3,11.7
cmaillard@green-plus.com,1,4.3
cmalet@rundofase.com,3,2.5
cmallett@j-texon.com,1,4.2
cmallett@j-texon.com,2,5.7
cmallett@j-texon.com,3,2
cmalvin@condax.com,1,5.1
cmarrier@conecom.com,4,1.2
cmarrier@conecom.com,6,2.3
cmartabano@zencorporation.com,3,2.7
cmclaird@inity.com,1,5.1
cmclaird@inity.com,2,9.8
cmclaird@inity.com,3,3.5
cmeisel@conecom.com,1,1.3
cmeisel@conecom.com,3,4.5
cmeteer@mathtouch.com,1,11.9
cmeteer@mathtouch.com,2,1.7
cmodzelewski@stanredtax.com,4,2
cmondella@warephase.com,4,3.9
cmorasca@y-corporation.com,1,5.4
cmulqueen@zathunicon.com,3,6.4
cmunns@stanredtax.com,1,2.2
cmunns@stanredtax.com,2,1.2
cmunns@stanredtax.com,3,2.3
cmyricks@faxquote.com,2,1.7
cmyricks@faxquote.com,3,1.2
cneither@betatech.com,3,2.3
cnestle@stanredtax.com,2,6.5
cnunlee@streethex.com,1,0.4
cnunlee@streethex.com,3,0.7
conofrio@toughzap.com,1,2.9
cpalaspas@y-corporation.com,3,2.3
cpapasergi@golddex.com,5,1.3
cpaskin@fasehatice.com,4,1.7
cpaulas@nam-zim.com,1,4.5
cpaulas@nam-zim.com,2,1.8
cpaulas@nam-zim.com,3,1.4
cperez@singletechno.com,1,4.6
cpinilla@fasehatice.com,1,3.1
cpinilla@fasehatice.com,2,1
cplumer@nam-zim.com,3,4.4
cpontoriero@groovestreet.com,2,5.5
cpontoriero@groovestreet.com,4,4.6
cpontoriero@groovestreet.com,5,8.4
cpoquette@kan-code.com,1,3
cpoquette@kan-code.com,4,1.8
cpoullion@isdom.com,1,4
cpoullion@mathtouch.com,1,8.5
craymo@blackzim.com,3,1.2
cregusters@finhigh.com,4,3
creiber@xx-holding.com,2,0.8
crestrepo@j-texon.com,2,2.8
crestrepo@j-texon.com,4,2.6
crhoden@donquadtech.com,1,1.8
crochin@kan-code.com,1,1.7
crochin@kan-code.com,2,2.6
crodenberger@bioholding.com,1,15.3
crodenberger@bioholding.com,3,1.7
crowling@year-job.com,1,4.2
crowling@year-job.com,4,4.7
cryser@zathunicon.com,1,1.8
csahagun@scotfind.com,3,0.7
csamara@doncon.com,4,3.1
csamu@isdom.com,1,1.2
csamu@isdom.com,3,2
csamu@isdom.com,6,10
csarao@konex.com,1,3.4
csarao@plexzap.com,2,2.2
csarbacher@bioholding.com,1,1.5
csarbacher@bioholding.com,2,1.7
csawchuk@konex.com,2,2.1
csayaphon@plussunin.com,1,4.3
cscheyer@betasoloin.com,1,5.2
cscriven@iselectrics.com,1,3.9
cseewald@donware.com,1,2.8
cskursky@nam-zim.com,3,1.1
cstaback@gogozoom.com,3,1.6
cstaback@gogozoom.com,4,2.2
cstem@donquadtech.com,2,1.6
csuell@blackzim.com,2,1.2
csuell@blackzim.com,3,3.4
csuffield@codehow.com,3,3.6
ctagala@zoomit.com,1,6
ctjepkema@ron-tech.com,6,1.5
ctolfree@rangreen.com,3,1.5
ctolfree@rangreen.com,4,1.9
ctomblin@dambase.com,1,3.6
ctoyama@treequote.com,2,1.3
ctromblay@donware.com,1,18.8
ctromblay@funholding.com,2,9.2
ctromblay@funholding.com,6,2.5
cuyetake@hottechi.com,1,2.7
cvanausdal@domzoom.com,2,1.4
cvanausdal@domzoom.com,6,4.7
cvillanueva@zumgoity.com,2,1.4
cvonasek@kan-code.com,1,3.3
cvonasek@kan-code.com,3,1.8
cwalthall@ontomedia.com,3,4.9
cweglarz@konex.com,2,3.2
cwide@sonron.com,3,3
cwolfgramm@green-plus.com,1,7.2
cwolny@conecom.com,1,8.5
cwolny@conecom.com,2,15.1
cyaw@conecom.com,1,18.3
czepp@betatech.com,1,2.3
dabdallah@bioplex.com,1,1.3
dankeny@openlane.com,2,1.4
dankeny@openlane.com,3,3.5
dbennick@zotware.com,2,1
dbennick@zotware.com,8,1.4
dberray@groovestreet.com,4,0.6
dbevelacqua@silis.com,4,1.6
dbilden@kinnamplus.com,1,0.7
dbilden@opentech.com,1,2.4
dblackwood@toughzap.com,2,1.9
dblackwood@toughzap.com,3,2.4
dboord@year-job.com,1,7.7
dbourbon@groovestreet.com,3,2.1
dbowley@warephase.com,1,1.7
dbreland@inity.com,3,6.4
dbrossart@faxquote.com,3,1.8
dcaldarera@isdom.com,1,1.3
dcartan@plexzap.com,1,0.7
dcartan@plexzap.com,3,0.3
dchesterfield@isdom.com,2,3.8
dchesterfield@isdom.com,3,1.8
dclaucherty@streethex.com,1,0.9
dclaucherty@streethex.com,2,1
dcolla@ron-tech.com,1,5.3
dcomnick@finhigh.com,9,6.7
dcork@zotware.com,1,5
dcork@zotware.com,2,2.6
dcorrio@codehow.com,2,1
dcousey@blackzim.com,1,0.5
dcraghead@silis.com,1,5.2
dcraghead@silis.com,2,1.9
dcronauer@finjob.com,3,11.2
ddarakjy@cancity.com,3,0.8
ddegonia@silis.com,3,2.1
ddelasancha@funholding.com,6,2.9
ddevreese@fasehatice.com,2,1.8
ddhamer@blackzim.com,1,1.6
ddilliard@konmatfix.com,3,1.6
ddiscipio@j-texon.com,1,5.8
dehmann@condax.com,2,5.3
dehmann@condax.com,3,4.6
demard@scotfind.com,1,5.7
demard@scotfind.com,3,2.9
demigh@yearin.com,1,25.7
dengelberg@rangreen.com,2,2.3
destell@conecom.com,1,3.2
dfallick@toughzap.com,2,2.3
dfarrow@domzoom.com,4,1.9
dfeichtner@toughzap.com,1,1.9
dfeichtner@toughzap.com,3,6.1
dfeichtner@toughzap.com,4,4.9
dfeichtner@toughzap.com,6,2.2
dfelger@y-corporation.com,3,10
dfelger@y-corporation.com,6,14.2
dfelger@y-corporation.com,8,13.8
dfigeroa@j-texon.com,4,2
dflosi@konmatfix.com,2,2.4
dfrancescon@plusstrip.com,1,3.6
dfrerking@konex.com,1,6.3
dfritz@betatech.com,4,3.7
dgehrett@scotfind.com,1,0.8
dgellinger@conecom.com,4,2.4
dgleich@openlane.com,2,1.6
dgleich@sumace.com,2,0.6
dgood@gogozoom.com,1,9.2
dgotter@donware.com,2,1.1
dharnos@rantouch.com,1,1.3
dharnos@rantouch.com,4,4
dharoldson@fasehatice.com,4,2.1
dharoldson@fasehatice.com,5,2.2
dharoldson@fasehatice.com,6,3.6
dharoldson@zathunicon.com,2,7.5
dheimann@konmatfix.com,3,1.5
dheimann@konmatfix.com,4,2.8
dheintzman@nam-zim.com,2,3.3
dhidvegi@konmatfix.com,1,1.5
dhirpara@xx-zobam.com,3,4.8
dhughey@newex.com,2,2.6
djulia@zathunicon.com,1,2.4
djuvera@zencorporation.com,3,1.5
dkannady@yearin.com,1,1.2
dkines@gogozoom.com,4,3.6
dkines@gogozoom.com,5,4.1
dkines@gogozoom.com,6,4
dkines@rangreen.com,1,3.5
dkines@stanredtax.com,1,6.4
dkippley@plexzap.com,1,7.1
dkippley@plexzap.com,4,2
dklimek@groovestreet.com,1,4.1
dkoppinger@condax.com,6,2.4
dkulzer@gogozoom.com,2,2.6
dkulzer@gogozoom.com,3,6.2
dkulzer@rundofase.com,2,2
dkulzer@rundofase.com,4,1.9
dlapage@bioplex.com,2,4.4
dlatzke@funholding.com,2,6.8
dlatzke@funholding.com,3,2.4
dleinenbach@zumgoity.com,1,0.9
dleinenbach@zumgoity.com,9,1.7
dlizama@funholding.com,1,5.2
dmaclead@zathunicon.com,3,2.8
dmaile@conecom.com,1,0.4
dmaile@conecom.com,3,0.5
dmaisto@stanredtax.com,2,2.8
dmaisto@toughzap.com,2,6.1
dmaisto@toughzap.com,3,15.5
dmalvin@conecom.com,1,2.7
dmalvin@domzoom.com,3,3.8
dmarrier@newex.com,1,2.6
dmarrier@newex.com,2,3.5
dmclaird@bioholding.com,4,3.1
dmcnease@ontomedia.com,5,1.7
dmcnease@xx-holding.com,3,2.1
dmeinerding@toughzap.com,5,3.9
dmeisel@goodsilron.com,1,1
dmeisel@goodsilron.com,3,6.6
dmiceli@treequote.com,2,1.8
dmondella@ron-tech.com,2,2.3
dmorasca@y-corporation.com,3,1.4
dmorocco@faxquote.com,4,1.4
dmorocco@faxquote.com,5,1.4
dneither@funholding.com,2,0.9
dnunlee@isdom.com,1,2
dnunlee@isdom.com,6,2.4
dogg@inity.com,1,4.8
dpaa@labdrill.com,3,2.1
dpaa@labdrill.com,4,4.5
dpagliuca@plussunin.com,1,1.8
dpagliuca@stanredtax.com,1,4.8
dpagliuca@stanredtax.com,2,0.9
dpagliuca@stanredtax.com,6,3
dpagliuca@stanredtax.com,12,0.9
dpalaia@betatech.com,2,1.8
dpalaspas@fasehatice.com,3,1.8
dperruzza@scotfind.com,3,0.8
dplumer@plussunin.com,2,3.7
dpontoriero@plexzap.com,3,6.9
dpoquette@stanredtax.com,3,2.5
draymo@betatech.com,2,0.8
dreiber@openlane.com,1,8
drim@green-plus.com,3,4.3
drim@zathunicon.com,2,3
drim@zathunicon.com,3,2.1
drochin@cancity.com,1,3.8
drodefer@statholdings.com,1,5.6
dsama@betatech.com,2,2.5
dsama@betatech.com,3,2.1
dsamara@finhigh.com,1,4.3
dsamara@finhigh.com,3,7.4
dsamu@finjob.com,1,4.1
dsamu@finjob.com,4,1.6
dsaras@rantouch.com,2,8.9
dsaras@rantouch.com,3,3.3
dscipione@labdrill.com,6,3.3
dscriven@doncon.com,3,1.2
dsemidey@singletechno.com,1,6.1
