household_email,appliance_number,hspf,seer
esemidey@dontechi.com,1,25.3,65.6
fdinos@yearin.com,1,20,57.7
fennaco@mathtouch.com,1,25.7,25.6
fgrenet@konmatfix.com,4,19.8,39.6
fhughey@green-plus.com,3,18.3,24.8
gamyot@finjob.com,1,24.2,46.6
gcaiafa@j-texon.com,2,29.1,39.5
gcaudy@doncon.com,3,18.5,50.1
geschberger@donware.com,1,30.2,51.2
gmcnease@betasoloin.com,1,23.5,38.3
gvanheusen@faxquote.com,1,21,45.1
hnachor@green-plus.com,2,23.5,53.1
hzepp@ganjaflex.com,2,24.1,52.5
jfarrow@condax.com,1,22.6,33.4
jharoldson@statholdings.com,1,20.7,29.7
jhidvegi@labdrill.com,5,22.6,46.1
jisaacs@plussunin.com,3,18.5,51.7
jmunns@treequote.com,1,23.8,39
jregusters@openlane.com,2,19.8,48
jrhym@bioplex.com,3,18,48.2
jstockham@gogozoom.com,1,14.6,32.9
juyetake@xx-holding.com,1,16,49.1
jwildfong@zotware.com,3,25.2,22.7
kberlanga@finjob.com,1,28,38.2
kdaufeldt@groovestreet.com,3,19.2,62.6
klimmel@ontomedia.com,1,16.1,45.4
kstem@plussunin.com,1,27.2,31.6
ldevreese@doncon.com,3,15.3,31.3
lemard@stanredtax.com,1,22.9,35.5
leschberger@scottech.com,4,22.9,43
llabreche@donware.com,2,18.5,42
llace@xx-zobam.com,2,23.2,56.3
lmaillard@betatech.com,2,24.6,48.8
lmerced@zumgoity.com,3,18.3,41.3
lpapasergi@goodsilron.com,3,18.3,58
lsilvestrini@nam-zim.com,4,21.8,50.3
mbenimadho@green-plus.com,2,22.3,37.6
mbirkner@stanredtax.com,1,24.4,35.3
mdenooyer@yearin.com,1,22.1,50.4
mhirpara@cancity.com,2,23.9,41.5
mkownacki@isdom.com,3,24,18.5
mschemmer@streethex.com,1,20.5,60.4
mshields@hatfan.com,1,22.5,39.6
nbookamer@rangreen.com,2,24.4,26.9
nheintzman@mathtouch.com,4,26.3,40.9
nmaillard@singletechno.com,1,19.7,23.4
omenter@dambase.com,1,15.3,45
owaymire@ganjaflex.com,1,16.8,44.1
pdallen@green-plus.com,6,15.6,37
phamilton@domzoom.com,1,18.6,48.3
qpapasergi@stanredtax.com,1,23.7,37.6
rbirkner@plusstrip.com,1,24,45.3
rinouye@rundofase.com,4,25.6,39
rjulia@streethex.com,1,22.7,41.6
rmenter@inity.com,1,19.7,54.2
rvonasek@newex.com,8,29.3,52.6
sblunk@ganjaflex.com,2,27.4,53.7
slouissant@lexiqvolax.com,2,25.1,42.2
sluczki@cancity.com,2,25.1,61.6
smastella@condax.com,6,18.7,47.2
smauson@opentech.com,1,23.5,46.7
smaynerich@newex.com,2,26.2,59.1
snicolozakes@plussunin.com,3,20,47.1
sperin@silis.com,1,21.7,39.5
tcorrington@y-corporation.com,6,25.6,51.8
tperruzza@ron-tech.com,9,22.7,54.8
vdinos@treequote.com,4,21.2,42.5
vleto@nam-zim.com,1,20.1,55.3
vyaw@cancity.com,1,18.8,24.9
wschieler@kinnamplus.com,1,23.9,40.6
aasar@fasehatice.com,6,23.1,54.7
abarfield@finjob.com,6,26.2,50.8
abennick@labdrill.com,3,18.8,36
abrideau@streethex.com,2,28.7,44
acalvaresi@ontomedia.com,3,24.6,39.9
acork@doncon.com,1,25.7,51.3
adallen@finjob.com,2,27.1,26.1
adallen@finjob.com,6,15.5,33.2
adinos@rundofase.com,1,22.7,49
afarrar@kan-code.com,4,22.7,32.7
afarrow@streethex.com,1,16,50.9
afelger@doncon.com,2,22.2,74.5
agillaspie@finhigh.com,3,26.6,42.8
agleich@finjob.com,2,19.9,38.1
agochal@blackzim.com,2,20.3,38.4
aharabedian@inity.com,1,19.2,49
aketelsen@ontomedia.com,1,27.8,37.7
aketelsen@ontomedia.com,2,23.8,33.1
akines@labdrill.com,3,22.4,34.1
aliukko@hatfan.com,2,20.7,42.6
alungren@opentech.com,6,19,31.5
amcdoniel@faxquote.com,3,27.6,59.1
amonarrez@toughzap.com,3,23.8,43.6
amonterrubio@domzoom.com,1,25.1,53.8
aostolaza@iselectrics.com,1,15.9,27.7
apoquette@goodsilron.com,2,19.1,35.8
areiber@scottech.com,4,24.3,48.8
arodefer@sumace.com,5,12.2,40
asaylors@golddex.com,2,19.4,45.2
aseewald@doncon.com,3,17.5,27.9
astenseth@plusstrip.com,4,23.8,38.4
astimmel@bioholding.com,3,23.3,26.3
atreston@condax.com,3,22.9,46.9
atromblay@xx-holding.com,1,20.7,43.2
aweight@cancity.com,4,25.9,30.3
bbruschke@cancity.com,2,15.8,31.2
bcentini@hottechi.com,6,24.2,16.2
bcoyier@labdrill.com,1,24.8,41.3
bcoyier@labdrill.com,3,27.7,21.8
bdubaldi@newex.com,7,23.5,46.1
bharabedian@donquadtech.com,1,15.7,38
bharabedian@donquadtech.com,4,19.1,51.4
bjuhas@hottechi.com,3,20.7,43.8
bkampa@betatech.com,1,22.8,56
bkeener@donware.com,3,24.3,40.5
bkeener@j-texon.com,3,22.2,43.1
blinahan@mathtouch.com,3,23.9,40.2
blueckenbach@treequote.com,3,26.6,38.5
bmaclead@streethex.com,6,13.7,43.3
bsarbacher@newex.com,1,24.8,35.6
bsergi@dontechi.com,2,23.2,48.3
bsuell@inity.com,2,22.8,25.8
cacuff@codehow.com,2,14.8,65
cbuvens@sumace.com,3,15.1,38.5
ccrupi@golddex.com,4,19.1,50.3
ccryer@betasoloin.com,1,20.5,46.1
cdegroot@newex.com,1,24.9,42.9
cdelasancha@betasoloin.com,1,24.2,26.7
ceschberger@zumgoity.com,1,27.3,39.9
cfarrow@cancity.com,3,18.5,24.9
cgarufi@finjob.com,3,28.5,54.6
cgellinger@treequote.com,2,22.4,47.4
choneywell@ganjaflex.com,1,19.8,34.5
ckorando@newex.com,1,20.4,33.9
ckownacki@doncon.com,3,23.3,53
clinahan@openlane.com,3,21.2,50.5
cohms@scotfind.com,2,17,35.2
cohms@toughzap.com,2,24.5,47.6
cregusters@finhigh.com,3,16.4,26.4
cstaback@gogozoom.com,2,26.6,44.7
cstockham@ontomedia.com,2,23.7,31.3
cstockham@ontomedia.com,3,21.3,65.8
cstoltzman@konex.com,3,15.4,66.6
cstorment@inity.com,1,18.9,19.2
csuffield@codehow.com,1,23.3,48.7
cyaw@condax.com,3,21.8,48.7
dabdallah@bioplex.com,2,19.3,38
dbennick@zotware.com,6,18.5,33.2
dbilden@kinnamplus.com,2,19,30
dbrossart@finjob.com,1,25.2,40.3
dcanlas@konex.com,1,17.8,27.5
dchesterfield@isdom.com,1,16.7,21.6
dcomnick@finhigh.com,5,31,43.7
dcomnick@rundofase.com,1,25.9,42.8
dcomnick@rundofase.com,2,21.3,24.2
dcrupi@ontomedia.com,2,23.6,33.5
ddevreese@fasehatice.com,1,21.1,55.9
ddinos@toughzap.com,1,29.4,42.9
ddiscipio@j-texon.com,7,26.2,45.4
dfallick@toughzap.com,3,24.4,57.7
dfelger@y-corporation.com,5,24.8,60.1
dgesick@rundofase.com,1,17.7,33.9
dheimann@konmatfix.com,2,20.1,59.1
disenhower@opentech.com,3,22.9,38.1
dlizama@funholding.com,2,23.3,29.1
dluczki@ganjaflex.com,1,26.6,62
dmiceli@treequote.com,1,21.5,41
dmyricks@hatfan.com,1,21.7,40.3
dpagliuca@stanredtax.com,8,20,25.8
dskursky@konex.com,3,20.8,55.6
dslayton@xx-holding.com,1,31.3,27.6
dsteier@openlane.com,1,27.7,45.5
dstimmel@dalttechnology.com,1,14.2,60.5
dstrassner@plussunin.com,1,19.3,35.6
dtawil@donware.com,1,26.7,23.7
dweglarz@hatfan.com,2,22.7,51.7
ealbares@stanredtax.com,1,27,34.9
ebayless@rundofase.com,1,26.1,47.5
ebirkner@conecom.com,2,24.3,46.5
eblunk@plusstrip.com,9,23.4,54.4
ecanlas@labdrill.com,3,25.5,49
edarakjy@faxquote.com,2,23.3,61.4
edarakjy@faxquote.com,3,24.5,28.4
edegroot@plussunin.com,3,22.2,35.9
eeroman@yearin.com,6,21.3,54.8
egato@streethex.com,4,21.4,43
egleich@cancity.com,4,28.3,45
ehengel@streethex.com,3,20.7,54.9
ejeanty@donware.com,2,21.6,47.6
ekolmetz@konex.com,2,20.8,41.3
ekulzer@toughzap.com,1,24.6,41
erodeigues@toughzap.com,3,18.1,45
ewide@groovestreet.com,1,20.6,46.3
ezagen@doncon.com,3,25.8,41.4
fbrossart@toughzap.com,4,26.4,39.4
fennaco@mathtouch.com,2,20,51.2
feroman@newex.com,2,21.2,42.6
ffigeroa@isdom.com,2,24.7,68.4
flary@doncon.com,3,21.9,51.2
florens@lexiqvolax.com,1,24.1,37.4
fmarrier@condax.com,1,17.7,53.3
fmerced@konmatfix.com,2,21.7,51.7
fmorasca@domzoom.com,1,15.5,47.4
fonofrio@inity.com,2,21.8,51.2
fpatak@bioplex.com,3,24.8,67.2
fpedrozo@domzoom.com,2,20.8,33.9
freiber@ganjaflex.com,1,25.2,35.3
fscriven@streethex.com,2,14.9,30.5
fshealy@labdrill.com,1,26.7,42.6
fshinko@iselectrics.com,2,24.1,48
fslusarski@dalttechnology.com,3,19.3,40.4
garceo@labdrill.com,3,24.6,49.5
gbutt@plussunin.com,1,16.5,64.8
gcorrio@plexzap.com,7,25.6,61.5
gcousey@doncon.com,2,21.1,46.3
gcoyier@groovestreet.com,3,18.8,53
ginouye@scottech.com,1,15.8,55.5
gkannady@finhigh.com,3,20.2,46.6
gkardas@groovestreet.com,1,25.7,49.9
gkarpel@goodsilron.com,2,21.1,30.3
gklonowski@iselectrics.com,1,15.4,30.3
glawler@hottechi.com,1,18.4,52
gliukko@kinnamplus.com,5,22,76.5
gmccullan@opentech.com,2,26.9,62
gmeteer@scottech.com,2,18.1,42.7
gpaprocki@dontechi.com,2,21.4,36.3
gpedrozo@betatech.com,8,30.4,35.1
gperin@year-job.com,1,14.5,42.9
grentfro@iselectrics.com,1,18.4,44.9
gschieler@finhigh.com,6,21.1,45.2
gspringe@bioplex.com,2,20.7,43.8
gthyberg@rantouch.com,3,23.7,62.6
gtjepkema@codehow.com,2,22.6,41.4
gvenere@gogozoom.com,6,19.8,53
hbarfield@isdom.com,1,19.7,45.6
hbevelacqua@konmatfix.com,3,23.3,37.1
hbevelacqua@konmatfix.com,5,24.9,55.1
hchavous@gogozoom.com,2,24.2,39
hfrerking@bioplex.com,2,18.3,33.6
hfrey@inity.com,1,20.4,55.1
hhagele@konex.com,2,30.8,33.9
hlouissant@j-texon.com,2,20.3,34.9
hriopelle@y-corporation.com,1,24.6,53.9
hsetter@bioholding.com,6,14.9,35.4
hventura@inity.com,2,17,29.3
jcolla@hatfan.com,3,22.9,51.5
jdenooyer@treequote.com,3,18,37.2
jemigh@dambase.com,1,22.5,44.2
jfortino@sonron.com,1,23,34.2
jfredicks@hatfan.com,4,21.3,48.1
jhalter@j-texon.com,2,21.5,50.7
jhoa@fasehatice.com,1,22.4,36.9
jhusser@zumgoity.com,3,14.7,24.1
jkalafatis@sunnamplex.com,3,27.7,47.9
jkownacki@donquadtech.com,3,24.6,42.4
jmaillard@zumgoity.com,3,18.4,55.3
jmenter@streethex.com,1,18.7,38.1
jmyricks@plussunin.com,4,21.1,47.3
jneither@scotfind.com,3,23.9,37.2
jpatak@treequote.com,1,25.1,38.8
jregusters@openlane.com,3,15.9,38.3
jsarao@zencorporation.com,4,21.7,39.8
jsaylors@ontomedia.com,1,21.8,56.7
jscriven@gogozoom.com,1,20.9,17.6
jslusarski@warephase.com,3,24.6,58.2
jstaback@lexiqvolax.com,3,20.1,60.6
jsweely@betasoloin.com,3,27.9,57.8
jsweely@labdrill.com,3,24.2,46.3
jsweigard@green-plus.com,2,27.8,56
jtegarden@isdom.com,2,22.5,42.5
jtromblay@mathtouch.com,2,25.4,52.7
jvenere@warephase.com,1,22.5,49.2
jwenzinger@inity.com,1,15.8,26.9
jyglesias@zumgoity.com,5,23.1,32
jyglesias@zumgoity.com,6,19.2,67.2
kbreland@kinnamplus.com,2,24.1,46.8
kcomnick@bioholding.com,2,23.9,53.6
kdaufeldt@groovestreet.com,1,22.1,48.3
kdemesa@openlane.com,4,21.1,49.2
kketelsen@sumace.com,1,15.8,47
kkulzer@j-texon.com,3,17.1,34.7
kleto@iselectrics.com,3,27.4,41.7
kloader@betasoloin.com,4,19.6,30.3
kmonterrubio@golddex.com,3,22.8,60.9
krowling@plussunin.com,1,17.3,35.4
kshin@codehow.com,2,8.1,53.5
kspringe@year-job.com,1,22.3,44.3
ktjepkema@labdrill.com,2,21.1,42.6
kvanheusen@j-texon.com,2,25.8,43.8
kwalthall@goodsilron.com,2,21,48.5
kwaycott@toughzap.com,1,22.6,58.6
larias@plexzap.com,3,20.3,33
lbennick@konmatfix.com,1,15.3,35.9
lboulter@fasehatice.com,3,22,34.5
lcartan@konmatfix.com,6,17.3,42.2
ldallen@hottechi.com,2,24.5,36.1
ldevreese@doncon.com,2,19.4,41.7
ldopico@warephase.com,6,21.7,47.1
lennaco@bioplex.com,3,23.8,20.8
lgoldammer@blackzim.com,1,18.6,42
lgreenbush@sunnamplex.com,4,24.8,47.8
lheimann@groovestreet.com,2,22.9,40.3
lhirpara@scottech.com,1,18.5,35.9
lhoneywell@gogozoom.com,1,21.6,46.4
lhudnall@nam-zim.com,1,20.6,51.3
lkampa@conecom.com,3,23.2,25.9
lkonopacki@hatfan.com,3,21.2,45.8
llinahan@lexiqvolax.com,6,22.1,52.2
lmclaird@blackzim.com,3,21.8,40.7
lmeinerding@domzoom.com,2,30.9,40.2
lmenter@plusstrip.com,4,23.3,36.8
lmeteer@plusstrip.com,4,21.6,57.6
lmonterrubio@groovestreet.com,4,22,50.8
lmunns@hottechi.com,3,20.1,63.6
lmyricks@openlane.com,2,21.5,46.2
lpalaia@nam-zim.com,2,15.3,40.6
lpalaia@singletechno.com,2,21.5,61.8
lshealy@conecom.com,3,29,40.6
lspringe@ganjaflex.com,2,22.5,63.6
lstrassner@kan-code.com,6,22.9,41.6
lwenner@blackzim.com,6,22.5,44.1
mbatman@doncon.com,7,21,46.1
mbatman@doncon.com,8,22.3,51.5
mbiddy@rundofase.com,4,23.5,44.7
mbitsuie@bioplex.com,2,23,42.6
mbourbon@betatech.com,1,27.1,45.9
mcaudy@xx-zobam.com,5,19.8,52
mdenooyer@rantouch.com,2,22.3,39.7
mfillingim@kinnamplus.com,6,23.5,26.1
mgarufi@nam-zim.com,4,20.7,45.8
mgato@ganjaflex.com,1,26.4,42.2
mgudroe@doncon.com,4,18,49.7
mhixenbaugh@kinnamplus.com,3,15.6,52.1
mjulia@fasehatice.com,3,28.8,38
mjuvera@plusstrip.com,4,27.5,56.7
mkaniecki@cancity.com,5,21.3,52.7
mmconnell@plussunin.com,1,22.7,41.3
mrodeigues@conecom.com,1,17.2,48.8
mroyster@silis.com,1,30.7,24.1
msahagun@domzoom.com,4,20.3,53.6
mseewald@ron-tech.com,1,13,42.5
mtollner@green-plus.com,3,26.8,44.6
mvanausdal@openlane.com,1,21.1,34.9
mvanheusen@hatfan.com,3,23.2,47.6
mwaycott@dambase.com,2,28.4,61.6
myum@dambase.com,4,15.4,29.2
myum@silis.com,4,23.8,27.1
naredondo@konmatfix.com,4,25.2,51.9
nboulter@hottechi.com,1,16.6,34.6
ncaudy@labdrill.com,3,13.8,55.3
ncolaizzo@yearin.com,2,22.6,55.5
neschberger@ontomedia.com,2,24.7,30.4
nfern@openlane.com,2,19.1,40.9
nfortino@gogozoom.com,4,19.4,41.1
nharnos@nam-zim.com,1,19.4,46.5
nisaacs@finjob.com,4,19.2,52.1
nmatuszak@golddex.com,1,25.1,54.1
nriden@iselectrics.com,3,17,46.3
nryser@scotfind.com,3,16.9,39.5
oyglesias@stanredtax.com,1,18.4,38.6
pcookey@zoomit.com,3,13.3,46.2
pgalam@condax.com,1,22.1,45.7
pkolmetz@dontechi.com,2,18.3,30.5
pnestle@cancity.com,1,20.2,56
pnunlee@sumace.com,1,31.6,40.7
prentfro@singletechno.com,4,22.9,44.7
psergi@silis.com,4,18.6,42.9
psilvestrini@xx-zobam.com,3,29.8,53.2
qstaback@hatfan.com,4,18.2,38.3
qstaback@hatfan.com,5,27.4,42.2
rbrideau@y-corporation.com,3,19.8,48.2
rbuvens@codehow.com,1,23.2,42.6
rdemesa@finjob.com,2,23.6,46.9
rdickerson@blackzim.com,1,17.4,56.8
rdinos@scotfind.com,1,24.7,33.8
rflister@fasehatice.com,6,26.3,36.3
rharoldson@yearin.com,3,26.9,32.1
rhauenstein@rangreen.com,3,23.9,26.6
rhaufler@stanredtax.com,2,28.9,46.5
rjayson@scottech.com,4,18.6,46.5
rlawler@conecom.com,1,26.3,31.4
rmonterrubio@iselectrics.com,1,21.3,29.2
rpaa@mathtouch.com,1,20.5,48.8
rperin@scottech.com,6,17.5,58.5
rscipione@codehow.com,3,22.4,25.9
rsilvestrini@hatfan.com,1,18,33.4
rtheodorov@openlane.com,4,27.4,42.4
rzurcher@scotfind.com,3,20,49.6
sbachman@xx-holding.com,3,25.4,44
scaldarera@treequote.com,4,21.3,41.5
schaffins@golddex.com,3,19.6,49.1
sdewar@sonron.com,1,16.5,48.2
sfillingim@finjob.com,1,20.9,39.4
sgibes@rantouch.com,4,21.9,50.3
sgleich@doncon.com,2,23,49.6
sgoldammer@silis.com,2,16.7,60.2
shochard@ganjaflex.com,4,26.6,40.5
sjulia@openlane.com,2,22.4,55.9
sklimek@golddex.com,3,17.2,37.5
slorens@openlane.com,4,19,55.6
smanno@sonron.com,4,19.1,49.3
smunns@betatech.com,2,21.7,55.4
srochin@kinnamplus.com,2,18,46.4
sschmaltz@ron-tech.com,4,24.3,48
sshadrick@dontechi.com,2,22.4,47
sworlds@plussunin.com,2,23.6,46.3
tcandlish@dalttechnology.com,1,24.9,46.3
tchaffins@statholdings.com,2,22.4,35.2
tclaucherty@toughzap.com,1,25.4,43.8
tdelasancha@konex.com,3,22.8,45.6
tdelasancha@konex.com,6,19.4,46.6
tdilello@goodsilron.com,4,17,29.3
tdopico@konex.com,2,14.4,55.2
tglick@opentech.com,1,27.4,53.4
tkarpin@finhigh.com,1,23.3,42.2
tlukasik@cancity.com,2,19.9,43.2
tnachor@year-job.com,1,26,43.3
tpugh@xx-holding.com,2,24.3,43.1
ttomasulo@j-texon.com,1,23.1,42.4
tvenere@zoomit.com,2,26.2,50.7
vblackwood@konex.com,1,11.8,62.3
vbrossart@dontechi.com,7,20.1,46.6
vfishburne@fasehatice.com,4,23.1,45
vhalter@mathtouch.com,1,20.4,28.1
vkarpel@labdrill.com,1,22.9,27.9
vkeener@sumace.com,2,24.2,23.8
vklusman@opentech.com,1,15.9,46.5
vlapage@dalttechnology.com,1,28.3,61.1
vsweigard@betatech.com,4,30.7,31.4
vtollner@plussunin.com,3,24.2,25.2
vvarriano@inity.com,4,19.6,34.4
wcorrio@kan-code.com,2,24.1,40.3
wdickerson@faxquote.com,1,29.3,39.1
wfeichtner@ontomedia.com,2,24.8,49
wgoldammer@zotware.com,3,24.8,39.4
wheintzman@rangreen.com,4,21,52.5
whoopengardner@donquadtech.com,4,26.6,38.1
wkampa@stanredtax.com,6,21.8,38.1
wmcdoniel@condax.com,1,27.7,33.7
wschieler@condax.com,6,27.5,36.3
xfarrow@zencorporation.com,2,29.1,50.4
ybutzen@sunnamplex.com,4,15.1,41.1
yglick@rundofase.com,1,18.9,48.5
ypatak@zathunicon.com,3,30,38
zgillian@bioholding.com,1,16.4,47.4
agesick@rantouch.com,1,20,30.3
ajeanty@gogozoom.com,1,18.8,53.1
beanes@j-texon.com,1,17.7,50.2
cgochal@konex.com,2,19.3,50.1
cshin@openlane.com,1,25.7,47.7
dryser@zoomit.com,2,27.2,32.9
edilello@doncon.com,3,23.6,37.5
gknipp@scotfind.com,3,21.9,34.7
hkusko@rundofase.com,1,27.6,42.5
jbookamer@dambase.com,1,23.7,38.8
kbiddy@betatech.com,1,20.3,32.4
kcorrington@sunnamplex.com,1,18.3,47.4
mfoller@dontechi.com,4,21.1,29.8
msmith@labdrill.com,4,23.8,36.2
scorrington@donware.com,5,21,43.9
sragel@kinnamplus.com,2,19.1,46.8
ssimilton@conecom.com,3,18.1,50.4
akonopacki@golddex.com,1,20.4,34.8
cboulter@condax.com,1,22.1,45.9
choneywell@opentech.com,6,25.2,54.6
dneither@funholding.com,3,25.5,48.2
estem@zoomit.com,2,22.2,32.2
ethyberg@xx-zobam.com,4,19.7,48.1
gdopico@warephase.com,2,29.1,25.7
hnievas@groovestreet.com,1,17.6,39.8
jcoody@codehow.com,9,23.5,36.6
jmarrier@kinnamplus.com,1,20.6,41.5
jsimilton@j-texon.com,2,15.2,44.1
kankeny@statholdings.com,3,22,36.8
khamilton@openlane.com,1,29.3,16
lfunnell@opentech.com,4,24.7,36.3
reschberger@streethex.com,1,18.1,26
sfelger@plusstrip.com,3,18.6,46
ssengbusch@yearin.com,5,24,51.7
tsahagun@nam-zim.com,1,21.3,42.8
tskulski@golddex.com,3,15.9,48
aacuff@rantouch.com,1,20.4,44.9
aarceo@zoomit.com,2,22.4,36.3
abayless@faxquote.com,3,18.1,52.2
abrucato@plussunin.com,2,27.1,40.6
acaiafa@nam-zim.com,3,24.1,39.1
afeichtner@konex.com,4,22.7,47.1
ahamilton@cancity.com,3,15.2,42.9
ajeanty@zoomit.com,3,22.8,35.9
akaniecki@zathunicon.com,3,16.3,48.4
akohl@hottechi.com,2,22.3,45
alapage@ontomedia.com,2,26.4,48.4
amarrier@hatfan.com,1,26.2,58.2
amirafuentes@newex.com,2,21.7,4.9
anicka@zotware.com,1,20.3,45.5
arantanen@singletechno.com,3,17.7,35.7
asaras@green-plus.com,5,23.4,25.8
aschieler@ron-tech.com,3,19.4,24.6
aschoeneck@finjob.com,3,23.2,39.4
astoltzman@zotware.com,8,15.4,47.6
awaycott@ganjaflex.com,1,22.4,44.6
awaycott@ganjaflex.com,3,25.8,21
aworlds@ganjaflex.com,2,22.1,47.4
azurcher@codehow.com,2,26.8,55.6
bbowley@hatfan.com,1,28.8,43
bbreland@plusstrip.com,2,25.8,31.3
bcentini@hottechi.com,7,18.7,56.2
bchavous@statholdings.com,4,26.2,44.2
bcousey@treequote.com,2,24.8,25.5
bdelasancha@warephase.com,1,25.8,49.5
bdhamer@mathtouch.com,1,23.1,53.2
bfelger@silis.com,3,21.1,62.3
bfishburne@donware.com,3,31.3,63
bgreenbush@cancity.com,3,23.9,41.2
bheimann@zencorporation.com,2,21.2,44.2
bhiatt@ganjaflex.com,3,22.3,37.9
blizama@zathunicon.com,2,18.9,38.7
blouissant@blackzim.com,1,19.6,39
bpugh@opentech.com,6,21.4,55.6
bsayaphon@sunnamplex.com,2,22.7,41.6
bsayaphon@sunnamplex.com,4,19.4,30.4
bshadrick@lexiqvolax.com,1,21.7,44.3
bsweigard@nam-zim.com,1,21.2,47.2
bsweigard@nam-zim.com,2,20.6,50.4
bsyrop@domzoom.com,1,28.2,42.6
bsyrop@domzoom.com,2,25.2,43.8
calbares@zencorporation.com,4,21.6,49.9
carceo@bioplex.com,3,19.6,50
cbennick@blackzim.com,1,36.5,31.2
cbutzen@inity.com,3,19.9,31.3
cbuzick@plussunin.com,3,20.9,41.5
ccaldarera@dalttechnology.com,3,15.8,47.2
ccaldarera@iselectrics.com,3,23.3,42.4
ccandlish@rangreen.com,3,22.2,37.8
ccetta@rundofase.com,1,22.5,44.2
cchui@scotfind.com,1,25.7,60.8
ccorrio@zathunicon.com,4,21.5,36.5
ccorrio@zathunicon.com,5,20.6,41.1
ccrupi@inity.com,3,26.5,38.1
cdallen@singletechno.com,3,26.3,57.2
cdegonia@betatech.com,1,22.8,49.8
cdeleo@zoomit.com,3,26.4,44
cfrankel@isdom.com,3,18.8,25.7
cgarufi@finjob.com,2,14.1,46.9
chagele@donquadtech.com,4,28.9,38.6
chusser@dambase.com,6,21.6,47.5
ckippley@sonron.com,2,22.8,57.5
ckownacki@doncon.com,1,21.1,53.9
clawler@cancity.com,3,20.4,52.8
clawler@faxquote.com,1,17.9,47.5
clietz@nam-zim.com,1,24.3,46.5
clietz@nam-zim.com,4,19.2,26.3
cliukko@rantouch.com,5,25.6,40.2
cmadarang@rundofase.com,1,23.6,40.2
cmarrier@conecom.com,2,20,52.3
cmonarrez@gogozoom.com,2,22.5,23.9
cmonarrez@golddex.com,3,16.8,58.9
cpalaspas@finhigh.com,2,22.5,38.4
cperruzza@warephase.com,2,22.1,64.5
cryser@stanredtax.com,3,20.3,49.9
cryser@zathunicon.com,4,17.8,40.2
cscriven@scottech.com,1,22,35.2
cvillanueva@zumgoity.com,3,23,52.5
cvonasek@kan-code.com,4,21,21.7
czepp@y-corporation.com,2,30.4,38.5
dborgman@y-corporation.com,4,22.4,27.3
dcaldarera@isdom.com,5,22.4,29.9
dclaucherty@streethex.com,3,27.6,51.3
dcomnick@finhigh.com,3,21.3,33.1
dcork@zotware.com,3,19.6,54.5
dcryer@inity.com,1,27.6,21.7
dgellinger@conecom.com,1,21.1,44.6
dgleich@sumace.com,1,23,37.7
dgoldammer@statholdings.com,1,24,28.2
dgoldammer@statholdings.com,2,19.1,46.9
dharnos@rantouch.com,8,22,52.8
dheintzman@nam-zim.com,3,23.1,55.5
dleinenbach@zumgoity.com,3,20.1,41.2
dlipke@blackzim.com,1,20.1,33.8
dlueckenbach@conecom.com,4,29.7,46.3
dmaile@conecom.com,4,20.6,39.4
dmalvin@openlane.com,1,24.7,42
dmaynerich@xx-zobam.com,1,21.2,43
dmorocco@faxquote.com,3,17.1,35.9
dpolidori@sumace.com,1,22.3,37.9
draymo@cancity.com,2,23.6,38.2
dsamu@finjob.com,2,22.1,47.9
dscriven@doncon.com,2,17.6,50.5
